站点id,站点编码,时间,Code_StationType,TVOC（ppb）,温度,湿度
12795,XH8012016082300391,2020/6/1 1:38,99,1,18,84
12795,XH8012016082300391,2020/6/1 1:39,99,2,18,84
12795,XH8012016082300391,2020/6/1 1:40,99,1,18,84
12795,XH8012016082300391,2020/6/1 1:41,99,19,18,84
12795,XH8012016082300391,2020/6/1 1:42,99,3,18,84
12795,XH8012016082300391,2020/6/1 1:43,99,3,18,85
12795,XH8012016082300391,2020/6/1 1:44,99,3,18,85
12795,XH8012016082300391,2020/6/1 1:45,99,19,18,85
