Õ¾µã±àÂë,Ê±¼ä,Code_StationType,TVOC£¨ppb£©
XH8012016082300391,2020/6/1 0:00,99,1
XH8012016082300391,2020/6/1 0:01,99,19
XH8012016082300391,2020/6/1 0:02,99,19
XH8012016082300391,2020/6/1 0:03,99,19
XH8012016082300391,2020/6/1 0:04,99,3
XH8012016082300391,2020/6/1 0:05,99,2
XH8012016082300391,2020/6/1 0:06,99,1
XH8012016082300391,2020/6/1 0:07,99,3
XH8012016082300391,2020/6/1 0:08,99,5
