站点id,站点编码,时间,Code_StationType,TVOC（ppb）,温度,湿度
12795,XH8012016082300391,2020/6/1 3:17,99,2,15,89
12795,XH8012016082300391,2020/6/1 3:18,99,4,15,89
12795,XH8012016082300391,2020/6/1 3:19,99,5,15,89
12795,XH8012016082300391,2020/6/1 3:20,99,1,15,89
12795,XH8012016082300391,2020/6/1 3:21,99,1,15,89
12795,XH8012016082300391,2020/6/1 3:22,99,4,15,89
