Code_StationType,TVOC（ppb）,温度,湿度,经度
99,1,18,73,118.3630336
99,19,18,72,118.3630336
99,19,18,71,118.3630336
99,19,18,72,118.3630336
99,3,18,72,118.3630336
99,2,18,71,118.3630336
99,1,18,72,118.3630336
99,3,18,71,118.3630336
99,5,18,72,118.3630336
