time,12901,13217,16211,13745,46884,13435,25741,24002,total,guo1,guo2,guo3,guo4,guo5,guo6,guo7,guo8
2020/6/2 2:00,-17.08333333,13.46666667,-3.431818182,1.75,0.25,-0.333333333,34.16666667,-7.166666667,-1.913048246,1.5,-4.833333333,-0.583333333,-9.5,21.41666667,28.91666667,27.33333333,-26.41666667
2020/6/2 3:00,-30.08333333,7.3,-1.638888889,-0.5,0.083333333,-1.166666667,-11.41666667,-20,-8.857862903,-20.58333333,-13.25,-8,-28.66666667,-1.166666667,-29,-5.166666667,-8.25
2020/6/2 4:00,-11.08333333,-16.73636364,-1.277777778,-0.166666667,-0.583333333,-1.416666667,-24.91666667,-40.91666667,-14.4233871,-42.58333334,-36.58333333,-39.16666667,-22.25,-32.58333333,-29.08333333,-32.08333333,-27.16666667
2020/6/2 5:00,-1.25,-0.446969697,1.833333333,-0.583333333,-0.583333333,-3.833333333,-37.16666667,-9.416666667,-6.847807018,-5.33333333,-17.16666667,-13.66666667,-2.916666667,-7.333333333,-6.833333333,-17.33333333,-18.33333333
2020/6/2 6:00,6.916666667,12.83333333,0.916666667,0.666666667,-1.5,-1.75,-6.833333333,6.416666667,-0.63433584,9.33333333,3.666666667,0.5,13.5,-17.58333333,18.16666667,-8.833333333,10.5
2020/6/2 7:00,33.08333333,17.25,-1.583333333,1.75,6.333333333,0.583333333,-27.83333333,33.5,7.529982363,20.91666667,42.75,26.41666667,0.75,21.58333333,33.91666667,22.25,45.41666667
2020/6/2 8:00,24.58333333,5,7.583333333,7.666666667,0.166666667,10.41666667,-2.416666667,16.83333333,8.279541446,18.75,14.41666667,18.66666667,24,36.5,7.5,36.66666667,19.16666667
2020/6/2 9:00,16.66666667,-65,9.75,15.66666667,13.66666667,-4.583333333,25.75,11.16666667,12.58333333,24.5,24.16666667,7.916666667,6.666666667,3.166666667,2.583333333,0.5,21.66666667
2020/6/2 10:00,7.674242424,125,0,-8.5,15.16666667,19.58333333,-5.666666667,10.66666667,4.787578887,7.6666667,5.416666667,14.83333333,20.33333333,17.91666667,22.75,22.75,12.16666667
2020/6/2 11:00,8.575757576,0,-9.666666667,-13.25,-4.333333333,11.5,4.5,9.416666667,1.736230637,0.4166666,7.333333333,3.833333333,2.416666667,16.91666667,11.75,15,2.583333333
2020/6/2 12:00,12.16666667,11,0.833333333,0.833333333,-12.08333333,-12.91666667,-1.71969697,0.083333333,-0.843474427,5.4166667,3.416666667,8.166666667,6.666666667,15.08333333,21.08333333,14.16666667,3.083333333
2020/6/2 13:00,5.5,25.66666667,2.916666667,2.833333333,-3.666666667,-6.833333333,1.803030303,7.25,0.414902998,5.5833333,4.416666667,8.333333333,9.416666667,11.25,10.33333333,12.75,1
2020/6/2 14:00,13.66666667,-0.166666667,9.75,4.666666667,6.25,-3.583333333,56.83333333,7.333333333,13.55952381,7.8333334,6.833333333,6.916666667,7.416666667,-7,-8.166666667,-5.75,6.666666667
2020/6/2 15:00,2.083333333,-161.5,-1.333333333,1.75,2.083333333,8,36.16666667,4.75,7.642857143,-5.5833334,1.083333333,-5.833333333,-7.916666667,0.75,4.166666667,-2.666666667,2.083333333
2020/6/2 16:00,-9.166666667,172,2.833333333,0.083333333,-2.409090909,4.833333333,19.08333333,25.5,8.795833333,-2.1666666,-10.91666667,-1.166666667,11.5,6.583333333,4.666666667,4.833333333,-6.083333333
2020/6/2 17:00,16.5,-9.5,-2.666666667,0,-3.757575758,-4.416666667,33.16666667,14,4.573214286,23.5833333,39.16666667,41.5,39.16666667,-13.5,-12.16666667,-16.33333333,31.41666667
2020/6/2 18:00,21.25,20.7,-3.166666667,-4.25,-3.75,3.416666667,-16.16666667,5.416666667,0.392857143,26.6666667,45.58333333,39.58333333,31,46.75,32.16666667,31.91666667,38.41666667
2020/6/2 19:00,-23.08333333,-24.53333333,-0.416666667,-1.75,-1.583333333,-5.333333333,-4.25,-40.16666667,-10.94047619,-17.9166667,-27.33333333,-19.16666667,-18.41666667,2.833333333,14.66666667,32.16666667,-17.83333333
2020/6/2 20:00,-25.16666667,-15.79166667,-0.416666667,-2.083333333,-1.25,-5.333333333,-20.41666667,-41.08333333,-11.87081129,3.6666667,-21,-20.66666667,-23,-28,-5.5,-45.41666667,-33.5
2020/6/2 21:00,-20.25,-13,-0.416666667,-2.833333333,-3,-1.916666667,-21,-27.75,-12.83156966,-17.4166667,-19.5,-22.16666667,-15.08333333,-37.08333333,-55.66666667,-24.83333333,-38.91666667
